G,D,H,N,SDI,A,SCI
22,13.3,9,1584.344944,822,22,11.8
45.96,22.3,20.4,1175,1400,68,13
30.63,20.5,19.2,925,962,59,12.9
28.82,20.8,13.7,850,905,60,9.1
33.51,20.2,12.7,1050,1067,39,10.5
28.9,24.8,13.6,600,848,54,9.5
31.24,17.7,12.5,1275,1048,32,11.8
24.49,16.8,12.9,1100,831,34,11.7
30.88,17.9,13.4,1225,1025,37,11.5
40.16,19.6,13.6,1325,1283,38,11.4
24.02,20.9,13.1,700,751,41,10.6
27.09,13.4,10.6,1925,1011,31,10.4
35.21,17,12.1,1550,1194,33,11.3
21.06,19.2,15.7,725,679,42,12.6
18.64,17.2,11.6,800,628,29,11.8
24.90042045,14.5,10.4,3002,1797,23,13.3
23.16733141,14.3,9.5,2869.8,1680,22,12.9
21.73934011,16.4,10.3,2069.4,1498,24,12.4
20.3019633,12.9,8.6,3123.5,1536,20,13
19.65057369,14.2,10,2464.5,1429,22,13.2
20.09989017,16.1,12.1,1974.6,1393,27,13.3
18.21694716,12.9,8.8,2779.1,1376,20,13.1
