Name,Guess,Min ,Max
alpha,5,0.00001,10000
beta,1.6,1.4,1.8
b1,23,15,30
b2,20,15,25
c1,21,10,30
c2,0.22,0.00001,1
c3,6.9,2,12
c4,2,0.00001,5
d1,30,20,40
d2,0.05,0.00001,1
d3,20,10,30
d4,0.03,0.00001,1
aSDItp,500,0.00001,1000
bSDItp,1.5,0.00001,3
aSDIpp,500,0.00001,1000
bSDIpp,1.5,0.00001,3
aHtp,5,0.00001,10
bHtp,1.5,0.00001,3
aHpp,5,0.00001,10
bHpp,1.5,0.00001,3
aHsa,5,0.00001,10
bHsa,1.5,0.00001,3
aGtp,5,0.00001,10
bGtp,1.5,0.00001,3
aGpp,5,0.00001,10
bGpp,1.5,0.00001,3
aDtp,5,0.00001,10
bDtp,1.5,0.00001,3
aDpp,5,0.00001,10
bDpp,1.5,0.00001,3
