G,D,H,N,SDI,A,SCI
20.6,12,12.8,1823,802,23,16.4
8.3,12,8.5,738,325,19,13.6
5.2,16,12.5,260,181,23,16
14.4,18,12.5,565,477,36,10.9
18.9,18,12,744,628,21,17
17.3,18,15,678,573,20,20
21,28,15,341,586,50,10.9
13.7,11,7,1444,552,17,13
8.9,20,9,283,283,34,8.2
12,14,8.5,780,440,35,7.6
18,22,13,474,552,55,9
5.7,12,7,508,224,18,12
23.5,24,16,520,697,40,13.1
19.1,22,11.5,502,585,24,14.1
28.9,18,11,1138,961,22,14.8
26.1,18,13,1026,866,24,15.9
2.5,8,5,505,116,18,8.6
17.4,14,8,1130,637,20,12
19.1,22,10,501,585,35,8.9
19.2,18,11,757,639,33,10.2
30.7,14,10,1993,1123,35,8.9
17.5,12,7,1549,681,18,12
16.9,18,13.5,665,561,45,10.3
17.1,10,11,2177,714,35,9.8
20.6,16,12,1024,716,40,9.8
16.5,12,9.5,1460,642,25,11.2
17.3,20,12.5,551,551,35,11.1
9,11,6,951,364,18,10.3
16.2,16,9,805,562,23,11.5
11.4,13,7.5,858,429,20,11.3
5.7,12,6.5,501,220,23,8.3
4.7,9,5,733,203,20,7.5
22.9,12,8.5,2024,890,25,10
12.9,18,10,505,427,35,8.9
6.7,14,8,437,246,25,9.4
19,16,9,947,662,20,13.5
21.9,12,10,1941,854,15,16
26.9,14,8,1746,984,20,12
26.9,14,12,1749,986,25,14.1
13.3,14,10,863,486,25,11.8
44,40,13.5,350,1068,50,13
39.2,35,12.5,247,606,60,8.3
19.2,16,12.5,953,666,20,18.8
36.2,14,11.5,2355,1327,30,11.5
24.1,22,10.5,634,739,25,12.4
15.3,24,11.5,337,452,25,13.5
10.9,24,11.5,240,322,25,13.5
15,30,12,213,408,35,10.7
14.4,24,10.5,319,428,30,10.5
17.7,16,12,878,614,30,12
20.4,14,10.5,1327,748,30,10.5
14.7,14,11,957,539,25,13
27.6,44,11,182,646,50,11
10.3,16,10.5,512,358,30,10.5
14.9,18,9,586,494,30,9
8.5,14,8.5,552,311,25,10
21,16,10.7,1046,730,30,10.7
20.5,18,10.7,806,681,25,12.6
34.5,28,17,561,963,28,17.9
25,28,17,406,698,70,10.7
21.5,28,16,349,600,62,10.5
9,27.6,21,151,253,85,12.4
18,16,22,896,626,65,14.2
24,15.1,15,1341,853,36,13.1
11,12,15,973,428,31,10.5
14,18,15,550,465,37,12.8
10.5,23.1,15.1,251,316,48,11.2
9,23.7,14.9,204,268,50,10.8
25,21.3,16,702,777,50,11.6
10,15,12,566,356,29,12.4
22,24,11,487,652,41,8.8
44.5,25,12,907,1298,29,12.5
