,name,Mean,SD,MAP
alpha,alpha,10.8099 ,0.1182 ,10.9946 
beta,beta,1.4618 ,0.0365 ,1.5141 
b1,b1,22.5299 ,0.5650 ,22.6376 
b2,b2,20.2184 ,0.9663 ,20.3552 
c1,c1,28.8045 ,1.0746 ,29.9196 
c2,c2,0.0237 ,0.0168 ,0.0007 
c3,c3,5.2318 ,0.4949 ,4.7796 
c4,c4,2.1113 ,0.1046 ,2.2056 
d1,d1,36.1868 ,1.5470 ,35.7568 
d2,d2,0.0152 ,0.0145 ,0.0199 
d3,d3,22.6900 ,1.0409 ,23.0006 
d4,d4,0.0700 ,0.0371 ,0.0900 
aSDItp,aSDItp,0.1145 ,0.0427 ,0.1518 
bSDItp,bSDItp,0.0085 ,0.0067 ,0.0046 
aSDIpp,aSDIpp,0.1889 ,0.1169 ,0.0270 
bSDIpp,bSDIpp,0.0288 ,0.0166 ,0.0499 
aHtp,aHtp,0.6717 ,0.2578 ,0.7776 
bHtp,bHtp,0.1343 ,0.1003 ,0.0953 
aHpp,aHpp,0.2747 ,0.1927 ,0.2812 
bHpp,bHpp,0.1248 ,0.0778 ,0.0970 
aHsa,aHsa,0.8268 ,0.0986 ,0.8060 
bHsa,bHsa,0.7097 ,0.0685 ,0.7295 
aGtp,aGtp,0.8948 ,0.2182 ,0.9505 
bGtp,bGtp,0.0807 ,0.0711 ,0.0345 
aGpp,aGpp,1.5265 ,0.9494 ,1.3771 
bGpp,bGpp,0.4988 ,0.3137 ,0.4331 
aDtp,aDtp,0.9048 ,0.3892 ,1.3590 
bDtp,bDtp,0.1860 ,0.1255 ,0.0173 
aDpp,aDpp,0.5402 ,0.3595 ,0.7296 
bDpp,bDpp,0.1974 ,0.1219 ,0.1055 
